BSPlotNumber,ForestAllianceType,SampleYear,ppt,psi,forest.200m,Richness,BA_UMCAsqrt,BA_LIDEsqrt,ccompsqrt,I_all,I_HS,n_all,n_HS,n_MS,ppt_z,psi_z,forest.200m_z,Richness_z,BA_UMCAsqrt_z,BA_LIDEsqrt_z,ccompsqrt_z
BS084,1,0,110.71,0.52,125581.039058,2,0,0.8376166647996471,22.36861837396113,0,0,24,11,13,-0.1780819654615194,-0.4949283770620853,0.5062179286356304,-0.5622669902378729,-0.4654301131187706,0.4404987849977511,-0.030404430642255717
BS085,0,0,111.99,0.63,92814.8126478,4,0.43549375070666885,0.1454438521662118,14.017892585036948,13,13,17,14,3,-0.14807642782444463,-0.1982571268635563,-0.10540488509144895,0.13365362882703544,0.1062498652635438,-0.28745469935399864,-0.5332816521740616
BS086,1,0,117,0.55,116955.881556,4,0.22829762925010424,0.3689791728977316,11.125917800360373,11,11,25,22,3,-0.030632878166831717,-0.41401803609885,0.34521851923857283,0.13365362882703544,-0.16573997165829835,-0.052364108345230365,-0.7074351666370909
BS087,1,0,105.43,0.62,109239.769601,3,0,0.7053425482768095,19.29784766889547,7,7,24,11,13,-0.3018548082144524,-0.22522724051796805,0.20118758794154887,-0.21430668070541872,-0.4654301131187706,0.3013869876909383,-0.2153249608041764
BS094,0,0,121.33,0.82,116583.40565605,3,0.6933478349582485,0.6597999634700515,30.768672797105467,22,22,29,24,5,0.07087022962108509,0.3141750325702664,0.33826578824291503,-0.21430668070541872,0.44473926280721604,0.25349015803891634,0.47544334065319965
BS098,1,1,119.514,0.72,80875.4800687589,2,0,0.9830853408548138,28.403189555113673,0,0,32,23,9,0.028299873098485268,0.044473896026149186,-0.32826753929514785,-0.5622669902378729,-0.4654301131187706,0.593487211681991,0.33299492714037493
BS102,0,0,132.56,0.49,121899.26546709999,4,0.33883551101594855,1.0879495862162567,26.939689969297355,21,21,41,37,4,0.334121938733858,-0.5758387180253205,0.4374929953771786,0.13365362882703544,-0.020635033284823273,0.7037722321299205,0.2448635929269601
BS103,0,0,128.14,0.61,118755.80399354,5,0.2561379799699354,0.8651953476146921,21.863139485428782,14,14,29,21,8,0.23050906658083395,-0.2521973541723798,0.378816334621916,0.48161393835948957,-0.12919347455738042,0.4695030999356099,-0.06084415832979129
BS111,0,0,146.03,0.63,91903.7161218,1,0,0.40870533662737524,9.373530148814167,12,12,12,12,0,0.6498833387115116,-0.1982571268635563,-0.12241164729326366,-0.910227299770327,-0.4654301131187706,-0.010584369558758874,-0.8129632195908847
BS112,0,0,151.69,0.64,44654.0509071,3,0.5692799219723567,0,18.653484588270004,2,2,121,118,3,0.7825640754504513,-0.17128701320914455,-1.0043860566894334,-0.21430668070541872,0.28187322466402537,-0.4404170189214464,-0.2541282365712227
BS118,1,0,125.57,0.63,108334.1840033,4,0.02076496067189146,0.9491883414618487,31.647738015252884,11,11,60,53,7,0.17026357304389503,-0.1982571268635563,0.18428369414547918,0.13365362882703544,-0.4381715996527248,0.5578379657613112,0.5283802811803984
BS119,0,0,135.06,0.56,108952.599501,6,0.7680576544295509,0.3901945542534974,24.199658163117046,25,25,46,39,7,0.3927265044312696,-0.38704792244443825,0.19582719695903364,0.8295742478919438,0.5428121006171633,-0.030052034686885585,0.07986002121008266
BS121,0,0,152.67,0.63,105934.760601,5,0,0,11.268665372293714,0,0,130,119,11,0.8055370652038364,-0.1982571268635563,0.13949543948761325,0.48161393835948957,-0.4654301131187706,-0.4404170189214464,-0.6988389674361232
BS122,0,0,150.77,0.82,122787.652353,4,0.32598577837409554,1.1211481667691614,27.341054943399755,26,26,29,28,1,0.7609975952738042,0.3141750325702664,0.45407585359313896,0.13365362882703544,-0.03750309365765967,0.7386869556612791,0.2690336241432291
