BSPlotNumber,Species,basal_area,I,plotID,spID
BS072,ARME,0.05061969702912894,0,3,4
BS072,CEOL,0.004656625710783471,0,3,6
BS072,CEOL,0.020106192982974676,0,3,6
BS072,TODI,9.503317777109126e-5,0,3,25
BS073,ARME,0.00807389311972577,0,4,4
BS073,CEOL,0.04082813812605295,0,4,6
BS073,LIDE,9.903870840441823e-4,1,4,10
BS073,ARCsp,8.042477193189871e-4,0,4,3
BS073,CEOL,0.007853981633974483,0,4,6
BS073,ARME,0.08769441733230549,0,4,4
BS073,ARME,0.015135408006832225,0,4,4
BS073,ARME,0.022851944962212153,0,4,4
BS073,QUAG,0.5528582605768952,0,4,16
BS073,UMCA,0.01738714454129271,1,4,26
BS073,CEOL,0.005026548245743669,0,4,6
BS073,UMCA,0.041059045186091804,1,4,26
BS073,PIPO,3.141592653589793e-4,0,4,13
BS073,PIPO,0.0018857409903172736,0,4,13
BS073,PIPO,0.001809557368467721,0,4,13
BS073,PIPO,9.621127501618741e-4,0,4,13
BS073,ARME,2.0106192982974677e-4,0,4,4
BS073,PIPO,0.0030190705400997917,0,4,13
BS073,PIPO,5.30929158456675e-4,0,4,13
BS073,PIPO,0.002642079421669016,0,4,13
BS073,PIPO,0.0011945906065275187,0,4,13
BS073,QUAG,0.05067074790974977,0,4,16
BS073,PIPO,1.7671458676442585e-4,0,4,13
BS073,CEOL,0.013684777599037136,0,4,6
BS073,PIPO,4.5238934211693025e-4,0,4,13
BS073,PIPO,7.853981633974483e-5,0,4,13
BS073,QUAG,0.1100971145450543,0,4,16
BS073,QUAG,0.1832247521408273,0,4,16
BS073,QUAG,0.20029616662043426,0,4,16
BS076,LIDE,2.544690049407733e-4,0,5,10
BS076,ARME,0.07163145409450088,0,5,4
BS076,LIDE,0.0019069467407290047,1,5,10
BS076,LIDE,0.0022368139693559326,0,5,10
BS076,LIDE,0.010277720366219007,0,5,10
BS076,LIDE,3.055198855616073e-4,0,5,10
BS076,LIDE,0.05725552611167398,0,5,10
BS076,LIDE,7.853981633974483e-5,0,5,10
BS076,LIDE,0.0016619025137490002,0,5,10
BS076,LIDE,5.725552611167399e-4,0,5,10
BS076,LIDE,0.013478217882063609,0,5,10
BS076,LIDE,0.0014836171306577797,0,5,10
BS076,LIDE,0.28577654653012236,0,5,10
BS076,LIDE,2.269800692218625e-4,0,5,10
BS076,LIDE,0.017424843653135787,0,5,10
BS076,LIDE,0.020520097815085132,0,5,10
BS076,LIDE,0.11044661672776618,0,5,10
BS076,ARME,0.44391411053570834,0,5,4
BS076,LIDE,0.004161039469679681,0,5,10
BS076,LIDE,0.23985510131443696,0,5,10
BS076,LIDE,0.0660519855417254,1,5,10
BS076,LIDE,0.006732433056642927,0,5,10
BS076,ARME,0.26970258771803013,0,5,4
BS076,ARME,0.2042820622996763,0,5,4
BS076,LIDE,0.3747802226008114,0,5,10
