BSPlotNumber,Species,basal_area,I,plotID,spID,basal_area_z
BS478,UMCA,0.034050151975932974,1,129,4,-0.03795964272551892
BS478,LIDE,0.0931961314669046,0,129,1,0.21267242335695713
BS478,LIDE,7.068583470577034e-4,0,129,1,-0.17925240081527735
BS478,QUPA,0.09010480429577225,0,129,3,0.19957287335362908
BS478,QUPA,0.03698361411622244,0,129,3,-0.02552904840071449
BS478,LIDE,0.004486979707489622,0,129,1,-0.16323407404545573
BS478,UMCA,5.976880023454581e-4,1,129,4,-0.17971501195614695
BS478,UMCA,0.0631577933096058,1,129,4,0.0853844687260413
BS478,UMCA,8.042477193189871e-4,1,129,4,-0.17883971173996926
BS494,UMCA,1.1309733552923256e-4,1,130,4,-0.18176847291957512
BS494,LIDE,3.141592653589793e-4,0,130,1,-0.18091646966732616
BS494,LIDE,2.2776546738526002e-4,0,130,1,-0.1812825648147769
BS494,UMCA,0.024276657230615124,0,130,4,-0.07937498831530916
BS494,LIDE,0.0014812609361675875,0,130,1,-0.17597085703903717
BS494,LIDE,1.3273228961416876e-4,0,130,1,-0.1816852694769727
BS494,LIDE,2.2776546738526002e-4,0,130,1,-0.1812825648147769
BS494,LIDE,7.853981633974483e-5,0,130,1,-0.18191491097855542
BS494,UMCA,0.050439055451547525,1,130,4,0.031488606745885175
BS518,LIDE,0.19456354542579626,1,131,1,0.6422185161363106
BS518,QUAG,0.16836501888934757,0,131,2,0.5312018267407278
BS518,LIDE,0.001288052987971815,0,131,1,-0.17678957891424518
BS518,LIDE,0.12093796539442929,1,131,1,0.33022890334109173
BS518,LIDE,9.817477042468104e-4,0,131,1,-0.1780875526188432
BS519,LIDE,9.503317777109126e-5,1,132,1,-0.1818450200867694
BS519,LIDE,4.751658888554563e-4,1,132,1,-0.18023420143798616
BS519,LIDE,2.544690049407733e-4,1,132,1,-0.18116940813283758
BS519,LIDE,8.121017009529614e-4,1,132,1,-0.1788064303629283
BS519,LIDE,8.55298599939821e-4,1,132,1,-0.17862338278920292
BS519,LIDE,6.157521601035993e-4,1,132,1,-0.17963846478895268
BS519,LIDE,5.568472978487908e-4,0,132,1,-0.17988807511676
BS519,LIDE,4.908738521234052e-4,1,132,1,-0.18016763868390423
BS519,LIDE,5.914048170382786e-4,1,132,1,-0.1797416370577797
BS519,LIDE,6.157521601035993e-4,1,132,1,-0.17963846478895268
BS519,LIDE,0.25562039864831393,1,132,1,0.9009479412528563
BS519,LIDE,0.055940769586146646,1,132,1,0.05480221136308867
BS519,LIDE,0.18474528298516477,1,132,1,0.6006134666973869
BS519,LIDE,0.2152022383635544,1,132,1,0.7296753187245867
BS519,LIDE,0.16619025137490004,1,132,1,0.5219862134380816
BS519,LIDE,0.3069995757014482,1,132,1,1.1186680535795115
BS519,LIDE,0.19478188611522074,0,132,1,0.6431437384180497
BS519,LIDE,0.3623960643603604,1,132,1,1.3534115902626258
BS519,LIDE,0.022118383077598936,1,132,1,-0.0885207107261693
BS519,LIDE,0.44219801554868493,1,132,1,1.691573677962868
BS519,LIDE,0.293522143217548,1,132,1,1.061557210577197
BS519,LIDE,0.6425193149103479,1,132,1,2.540438496356883
BS519,LIDE,0.3384995398408296,1,132,1,1.2521496724777526
BS519,LIDE,1.1309733552923256e-4,1,132,1,-0.18176847291957512
BS519,LIDE,3.055198855616073e-4,1,132,1,-0.18095307918207124
BS519,LIDE,3.141592653589793e-4,1,132,1,-0.18091646966732616
BS519,LIDE,9.80962306083413e-4,1,132,1,-0.17809088075654733
BS519,LIDE,7.853981633974483e-5,1,132,1,-0.18191491097855542
BS519,LIDE,7.547676350249479e-4,1,132,1,-0.17904938441532742
BS520,QUAG,0.0456167107282872,0,133,2,0.01105384124272609
BS520,UMCA,0.005523705283174255,1,133,4,-0.15884093227604693
BS520,UMCA,0.17395391222008383,1,133,4,0.5548848546430862
BS520,UMCA,0.042638480892684065,1,133,4,-0.0015664569312119592
BS520,QUPA,2.544690049407733e-4,0,133,3,-0.18116940813283758
BS520,UMCA,0.04599605804120816,1,133,4,0.012661331753805195
BS520,UMCA,0.021124069002737767,1,133,4,-0.09273413305955681
BS520,QUPA,2.835287369864788e-4,0,133,3,-0.18104626703778598
BS520,QUPA,0.07021538120589527,1,133,3,0.11529111413506209
BS520,QUAG,0.002042820622996763,0,133,2,-0.17359123858060738
BS520,QUPA,0.003117245310524472,0,133,3,-0.16903834620140193
BS520,QUAG,0.15778649102654732,0,133,2,0.4863751400042375
BS520,UMCA,0.018869190875623696,1,133,4,-0.10228921640802095
BS520,QUAG,0.2706238597636954,1,133,2,0.9645253558142324
BS520,QUAG,0.05027255104090727,0,133,2,0.0307830415526165
BS520,UMCA,8.042477193189871e-4,1,133,4,-0.17883971173996926
BS520,UMCA,0.004071504079052372,1,133,4,-0.16499465889092335
BS520,UMCA,0.004770508444476101,1,133,4,-0.1620326163342765
BS520,QUPA,0.15763255298652143,1,133,3,0.4857228250142344
BS520,UMCA,0.004544313773417636,1,133,4,-0.16299111999305663
BS521,LIDE,0.16938053871462047,1,134,1,0.535505108792126
BS521,LIDE,7.319910882864218e-4,1,134,1,-0.17914590040874626
BS521,LIDE,0.0056745017305465635,0,134,1,-0.1582019298368602
BS521,LIDE,2.835287369864788e-4,1,134,1,-0.18104626703778598
BS521,LIDE,0.0023907520093818324,1,134,1,-0.17211687357769218
BS521,LIDE,2.0813051330032382e-4,1,134,1,-0.18136576825737932
BS521,LIDE,0.004778362426110075,0,134,1,-0.16199933495723556
BS521,LIDE,1.916371518689774e-4,1,134,1,-0.18143565914916537
